timestamp	cpu_usage	memory_mb	disk_io	network_in	network_out	disk_usage	status	uptime_hours
2024-01-15T10:00:00Z	63.6	1902	643	13.8MB/s	5.1MB/s	27.2%	OK	6167
2024-01-15T10:01:00Z	85.6	2156	1289	23.5MB/s	1.3MB/s	35.3%	OK	4239
2024-01-15T10:02:00Z	60.4	2614	1410	38.7MB/s	14.9MB/s	51.4%	OK	2378
2024-01-15T10:03:00Z	78.4	1826	406	38.5MB/s	12.1MB/s	30.9%	OK	7941
2024-01-15T10:04:00Z	74.4	2218	269	21.2MB/s	12.8MB/s	44.1%	OK	2266
2024-01-15T10:05:00Z	78.2	3681	1178	7.3MB/s	32.3MB/s	25.5%	WARN	2501
2024-01-15T10:06:00Z	80.2	3281	1262	11.0MB/s	2.7MB/s	66.3%	WARN	6432
2024-01-15T10:07:00Z	33.2	2126	556	47.7MB/s	13.5MB/s	51.7%	CRIT	6933
2024-01-15T10:08:00Z	39.7	3316	807	11.9MB/s	9.6MB/s	85.6%	OK	5408
2024-01-15T10:09:00Z	14.2	2500	1173	40.2MB/s	6.0MB/s	46.6%	OK	7680
2024-01-15T10:10:00Z	63.7	4081	529	37.8MB/s	29.5MB/s	74.3%	OK	1976
2024-01-15T10:11:00Z	79.5	3092	901	15.1MB/s	7.6MB/s	86.0%	OK	7279
2024-01-15T10:12:00Z	70.5	2670	1422	27.7MB/s	31.0MB/s	65.0%	OK	1270
2024-01-15T10:13:00Z	31.0	2810	1229	29.9MB/s	26.2MB/s	50.0%	WARN	4880
2024-01-15T10:14:00Z	42.7	2698	363	28.3MB/s	3.5MB/s	23.3%	WARN	998
2024-01-15T10:15:00Z	21.3	2455	1473	23.5MB/s	2.5MB/s	46.7%	CRIT	3934
2024-01-15T10:16:00Z	54.0	4066	103	37.6MB/s	4.3MB/s	81.9%	OK	6251
2024-01-15T10:17:00Z	31.2	3193	308	16.5MB/s	5.8MB/s	20.2%	OK	6015
2024-01-15T10:18:00Z	84.2	2878	1105	42.0MB/s	17.9MB/s	27.4%	OK	5222
2024-01-15T10:19:00Z	34.0	3879	1327	11.3MB/s	13.3MB/s	31.3%	OK	7911
2024-01-15T10:20:00Z	75.7	3972	81	33.1MB/s	17.3MB/s	27.8%	OK	3073
2024-01-15T10:21:00Z	84.4	3059	570	3.7MB/s	30.8MB/s	86.3%	WARN	801
2024-01-15T10:22:00Z	71.7	2083	1170	42.2MB/s	4.8MB/s	53.3%	WARN	4603
2024-01-15T10:23:00Z	22.4	3961	1322	23.6MB/s	7.6MB/s	57.8%	CRIT	6079
2024-01-15T10:24:00Z	68.0	3076	897	54.7MB/s	22.9MB/s	50.7%	OK	4339
2024-01-15T10:25:00Z	47.3	2815	540	4.0MB/s	1.0MB/s	58.8%	OK	4920
2024-01-15T10:26:00Z	27.2	2090	1372	3.7MB/s	2.6MB/s	22.2%	OK	2806
2024-01-15T10:27:00Z	14.2	2774	650	37.0MB/s	7.7MB/s	29.3%	OK	7763
2024-01-15T10:28:00Z	84.8	3736	577	43.3MB/s	28.3MB/s	33.3%	OK	894
2024-01-15T10:29:00Z	65.3	3251	947	22.9MB/s	30.3MB/s	23.8%	WARN	5453
2024-01-15T10:30:00Z	93.6	2203	204	22.4MB/s	12.1MB/s	80.3%	WARN	2136
2024-01-15T10:31:00Z	24.7	3996	998	8.1MB/s	6.7MB/s	52.4%	CRIT	7263
2024-01-15T10:32:00Z	88.3	3615	1207	5.8MB/s	22.9MB/s	57.8%	OK	220
2024-01-15T10:33:00Z	92.3	2768	420	22.6MB/s	17.0MB/s	80.5%	OK	7492
2024-01-15T10:34:00Z	13.1	3352	84	54.2MB/s	9.5MB/s	74.9%	OK	3827
2024-01-15T10:35:00Z	32.8	4076	1435	39.7MB/s	5.7MB/s	40.8%	OK	579
2024-01-15T10:36:00Z	58.4	4020	204	41.3MB/s	2.3MB/s	60.9%	OK	4219
2024-01-15T10:37:00Z	88.0	3975	402	3.6MB/s	17.9MB/s	79.6%	WARN	661
2024-01-15T10:38:00Z	59.8	2763	906	7.0MB/s	31.2MB/s	37.2%	WARN	4970
2024-01-15T10:39:00Z	11.5	2135	938	36.3MB/s	19.9MB/s	42.1%	CRIT	2236
2024-01-15T10:40:00Z	25.8	3086	568	15.0MB/s	4.8MB/s	65.2%	OK	3845
2024-01-15T10:41:00Z	35.5	2097	99	25.5MB/s	34.9MB/s	89.7%	OK	700
2024-01-15T10:42:00Z	54.8	3872	623	7.7MB/s	12.4MB/s	24.8%	OK	2101
2024-01-15T10:43:00Z	40.1	2446	977	45.9MB/s	24.7MB/s	62.8%	OK	6711
2024-01-15T10:44:00Z	64.9	1832	1447	45.0MB/s	10.7MB/s	66.4%	OK	7791
2024-01-15T10:45:00Z	84.4	2883	316	49.0MB/s	26.1MB/s	30.9%	WARN	2408
2024-01-15T10:46:00Z	60.6	3204	496	38.0MB/s	29.9MB/s	55.4%	WARN	2157
2024-01-15T10:47:00Z	86.8	2008	269	35.1MB/s	29.1MB/s	23.1%	CRIT	2832
2024-01-15T10:48:00Z	75.1	2872	410	40.9MB/s	19.4MB/s	49.9%	OK	179
2024-01-15T10:49:00Z	17.7	2410	1197	2.5MB/s	13.1MB/s	58.7%	OK	3620
2024-01-15T10:50:00Z	19.1	3062	826	49.5MB/s	27.9MB/s	80.2%	OK	7463
2024-01-15T10:51:00Z	39.1	2822	1445	6.1MB/s	27.4MB/s	81.9%	OK	3429
2024-01-15T10:52:00Z	92.7	2433	564	47.6MB/s	34.2MB/s	76.8%	OK	7320
2024-01-15T10:53:00Z	43.9	2534	760	43.1MB/s	14.6MB/s	66.9%	WARN	6121
2024-01-15T10:54:00Z	78.5	2892	406	43.4MB/s	4.1MB/s	81.1%	WARN	7133
2024-01-15T10:55:00Z	49.0	2617	1022	19.6MB/s	28.8MB/s	81.0%	CRIT	1926
2024-01-15T10:56:00Z	10.1	2591	896	18.4MB/s	30.3MB/s	87.7%	OK	2386
2024-01-15T10:57:00Z	38.5	3886	898	37.5MB/s	29.6MB/s	43.2%	OK	326
2024-01-15T10:58:00Z	18.0	2869	445	32.1MB/s	34.4MB/s	22.7%	OK	4987
2024-01-15T10:59:00Z	45.8	3084	973	33.5MB/s	18.0MB/s	47.0%	OK	4823
